0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,53,88,53,9,0,0,0
0,4,4,4,0,0,0,0,8,11,8,0,4,15,22,15,4,0,0,0,4,4,4,0,0,0,0,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,11,56,90,56,11,15,22,15,4,4,15,22,22,38,22,4,8,4,0,0,0
0,0,0,0,0,0,0,0,12,18,12,12,55,85,55,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,18,42
13,19,13,3,13,19,13,3,3,22,34,44,72,44,9,0,0,0,0,3,19,31,19,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,9,13,16,9,3,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,6,11,22,11,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,0,0,0,0,0,0,0,0,6,34,56,34,6,6,11,6,0,0,0,0,0,0,0,6,22,34,22,6,0,0,0,0
0,2,7,11,32,52,32,9,5,2,0,5,23,38,23,5,0,5,9,7,5,0,0,0,0,0,0,0,0,2,7,9,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,5,2,2,0,0,2,11,18,11,7,2,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,37,60,37,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,34,6,0,3,0,0,0,0,3,8,31,53,31,8,3,14,22,14,22,14,3,0,0,0,0,0,0,0,0,0,0,3,8,11,8,17,28,17,3,0,0,0,0,3,6,11,6,3,0,6,8,6,6,8,6,3,6,3,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,35,83
0,4,4,18,28,18,7,4,0,0,0,0,0,11,46,74,46,11,14,7,4,11,18,11,4,0,0,0,0,0,0,0,4,7,7,11,21,11,14,21,14,4,0,0,0,4,14,21,14,4,0,0,0,0,0,0,0,0,0,4,7,4,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,38,63,38,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,1,1,0,1,2,1,0,0,1,1,1,0,0,0,0,1,1,1,1,8,38,63,38,8,1,0,1,1,4,15,24,15,4,0,0,0,0,0,0,1,3,4,3,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,11,56,89,56,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,4,17,28,17,4,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15,24,15,3,1,0,0,0,0,0,0,1,2,5,8,5,9,41,67,41,9,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,38,62,38,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,34,7,5,20,32,20,5,6,26,43,26,6,1,7,12,7,1,1,1,0,0,0,0,1,1,1,1,2,5,7,5,5,7,5,1,1,1,1,1,6,11,6,1,0,0,1,2,1,0,1,6,10,6,1,0,0,0,0,0,0,0,0
